candidate_count	DENSITY	POPPING	PIMIDE	DUMMY_FILL	VAR_ANT_RATIO
111	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED
3	UNDEFINED	UNDEFINED	UNDEFINED	UNDEFINED	DEFINED
