x_lo,x_hi,x_mid,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
24004.0,24503.666666666668,24253.833333333336,1600215,-1813.8812940761086,355.5999194824073,-2705.0,-1046.0,,1848.4092005596776,1813.8812940761086,2200.0,2700.0
24503.666666666668,25003.333333333336,24753.5,1596900,-2125.3890193499906,396.66585805103443,-3100.0,-1081.0,,2162.0874607624223,2125.3890193499906,2700.0,3100.0
25003.333333333336,25503.0,25253.166666666668,1605270,-1892.9397297650862,415.62776377796195,-3100.0,-1046.0,,1938.0317724263734,1892.9397297650862,2500.0,3100.0
25503.0,26002.666666666668,25752.833333333336,1600080,-2033.0479757262137,380.67039147759994,-2705.0,-1289.0,,2068.3795415706413,2033.0479757262137,2600.0,2700.0
26002.666666666668,26502.333333333336,26252.5,1605705,-1978.4930731360992,437.1330195150998,-3100.0,-945.0,,2026.2082810495913,1978.4930731360992,2600.0,3100.0
26502.333333333336,27002.0,26752.166666666668,1591995,-1931.553085907933,366.3709741540088,-2705.0,-1079.0,,1965.992098170508,1931.553085907933,2600.0,2700.0
27002.0,27501.666666666668,27251.833333333336,1607910,-2045.0998159100945,446.7637839179071,-3100.0,-1046.0,,2093.330124830092,2045.0998159100945,2600.0,3100.0
27501.666666666668,28001.333333333336,27751.5,1599975,-1831.6537320895638,356.7768634802085,-2705.0,-1046.0,,1866.0774488308566,1831.6537320895638,2300.0,2700.0
28001.333333333336,28501.0,28251.166666666668,1605060,-2114.706733704659,408.41274045593417,-3100.0,-1081.0,,2153.783979934061,2114.706733704659,2700.0,3100.0
28501.0,29000.666666666668,28750.833333333336,1600380,-1875.0536497581825,410.0585968200237,-3100.0,-1046.0,,1919.3681609399246,1875.0536497581825,2400.0,3100.0
29000.666666666668,29500.333333333336,29250.5,1604790,-2053.720542874769,380.2385290917435,-2705.0,-1381.0,,2088.623785447745,2053.720542874769,2600.0,2700.0
29500.333333333336,30000.0,29750.166666666668,1599045,-1965.5859309775522,432.8397407270317,-3100.0,-919.0,,2012.679352516367,1965.5859309775522,2600.0,3100.0
