x_lo,x_hi,x_mid,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
20.0,519.6666666666667,269.83333333333337,1603875,-1999.9036365053387,378.07701594926584,-2705.0,-1254.0,,2035.327171776894,1999.9036365053387,2600.0,2700.0
519.6666666666667,1019.3333333333334,769.5,1602765,-2001.102869104329,442.6337688080616,-3100.0,-910.0,,2049.4724257196403,2001.102869104329,2600.0,3100.0
1019.3333333333334,1519.0,1269.1666666666667,1600920,-1900.2271069135247,362.9610863345419,-2705.0,-1046.0,,1934.5810207255324,1900.2271069135247,2300.0,2700.0
1519.0,2018.6666666666667,1768.8333333333335,1600545,-2068.8171404115474,439.3986260287881,-3100.0,-1046.0,,2114.9646314745355,2068.8171404115474,2600.0,3100.0
2018.6666666666667,2518.3333333333335,2268.5,1597950,-1800.4714947276198,354.6227365906352,-2705.0,-1046.0,,1835.062617442414,1800.4714947276198,2200.0,2700.0
2518.3333333333335,3018.0,2768.166666666667,1590405,-2136.1500372546616,386.4938314050427,-3100.0,-1081.0,,2170.8326442757084,2136.1500372546616,2700.0,3100.0
3018.0,3517.666666666667,3267.8333333333335,1593435,-1905.0962951108768,419.16186008250884,-3100.0,-1046.0,,1950.6635917887481,1905.0962951108768,2500.0,3100.0
3517.666666666667,4017.3333333333335,3767.5,1596585,-2020.1320881757001,380.25247097052255,-2705.0,-1381.0,,2055.608305293847,2020.1320881757001,2600.0,2700.0
4017.3333333333335,4517.0,4267.166666666667,1585800,-1989.3751229663262,439.36204694807736,-3100.0,-1046.0,,2037.3149649590164,1989.3751229663262,2600.0,3100.0
4517.0,5016.666666666667,4766.833333333334,1605240,-1919.484886995091,365.49732044630105,-2705.0,-1064.0,,1953.972988409985,1919.484886995091,2500.0,2700.0
5016.666666666667,5516.333333333334,5266.5,1595805,-2055.9769270054926,443.97409516675054,-3100.0,-1046.0,,2103.3672998405696,2055.9769270054926,2600.0,3100.0
5516.333333333334,6016.0,5766.166666666667,1599615,-1820.0916157950508,356.13787317818,-2705.0,-1046.0,,1854.607126943297,1820.0916157950508,2300.0,2700.0
