label,lo_ps,hi_ps,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
20-200 ps,20,200,577380,-2155.7245488239982,372.2192322347255,-2705.0,-1381.0,,2187.6231959113707,2155.7245488239982,2700.0,2700.0
0.2-1 ns,200,1000,2565120,-1962.4472519804142,411.7557062285987,-3100.0,-910.0,,2005.1787731576057,1962.4472519804142,2600.0,3100.0
1-10 ns,1000,10000,28784865,-1976.393759706707,412.25202452221805,-3100.0,-919.0,,2018.9314052800496,1976.393759706707,2600.0,2800.0
10-30 ns,10000,30000,64069035,-1974.3628645257415,412.6414099186648,-3100.0,-891.0,,2017.022967479624,1974.3628645257415,2600.0,2800.0
