idx	marker_handle	box	layer	type	subType	message
54	0x7f1e0cb27b80	{221.75 201.16 221.75 201.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
55	0x7f1e0cb27c10	{219.58 212.8 219.58 212.8}	MET1	Connectivity	ConnectivityAntenna	Net VSS
56	0x7f1e0cb27160	{221.75 205.16 221.75 205.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
57	0x7f1e0cb271c0	{205.16 158.32 205.16 158.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
58	0x7f1e0cb27d30	{50.17 172.48 50.17 172.48}	MET1	Connectivity	ConnectivityAntenna	Net VDD
59	0x7f1e0cb27d90	{50.17 181.44 50.17 181.44}	MET1	Connectivity	ConnectivityAntenna	Net VDD
60	0x7f1e0cb27df0	{50.17 190.4 50.17 190.4}	MET1	Connectivity	ConnectivityAntenna	Net VDD
61	0x7f1e0cb27e50	{50.17 199.36 50.17 199.36}	MET1	Connectivity	ConnectivityAntenna	Net VDD
62	0x7f1e0cb27e80	{50.17 208.32 50.17 208.32}	MET1	Connectivity	ConnectivityAntenna	Net VDD
63	0x7f1e0cb27eb0	{50.17 217.28 50.17 217.28}	MET1	Connectivity	ConnectivityAntenna	Net VDD
64	0x7f1e0cb27bb0	{48.0 201.16 48.0 201.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
65	0x7f1e0cb27190	{48.0 205.16 48.0 205.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
66	0x7f1e0cb27220	{125.16 158.32 125.16 158.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
