idx	marker_handle	box	layer	type	subType	message
568	0x7fd76302d520	{193.35 135.11 193.61 135.37}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][44] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 193.3400 135.1000 193.6200 135.5200 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
569	0x7fd76302d400	{192.23 135.67 192.49 135.93}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[1][nfast_hit_packed][44] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 192.2200 135.3910 192.5000 135.9400 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
570	0x7fd763017010	{198.95 139.03 199.21 139.29}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_64986 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 198.9400 138.7510 199.2200 139.3000 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
571	0x7fd763016dd0	{193.49 135.25 193.75 135.51}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_ctx_snapshot[nfast_hit_packed][44] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 193.3400 135.1000 193.6200 135.5200 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
572	0x7fd763016cb0	{192.48 134.72 192.74 134.98}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[1][nfast_hit_packed][44] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 192.2200 134.7100 192.5000 135.2590 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
573	0x7fd76302d7c0	{198.95 138.47 199.21 138.73}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_64986 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 198.9400 138.4600 199.2200 139.0090 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
574	0x7fd76302d310	{190.55 131.75 190.81 132.01}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][43] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 190.5400 131.4710 190.8200 132.0200 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
575	0x7fd76302d250	{189.99 133.99 190.25 134.25}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][44] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 189.9800 133.9800 190.2600 134.2600 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
576	0x7fd76302d0d0	{188.87 138.47 189.13 138.73}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][48] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 188.8600 138.4600 189.1400 139.0090 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
577	0x7fd76302d010	{188.31 133.99 188.57 134.25}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][44] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 188.3000 133.7110 188.5800 134.2600 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
