term,direction,layer,purpose,llx,lly,urx,ury,cx,cy
I183|PSUB_SUB,inputOutput,METTPL,pin,-85.930000,2702.755000,-85.430000,2710.155000,-85.680000,2706.455000
I183|PSUB_SUB,inputOutput,MET5,pin,-85.930000,2547.155000,-85.430000,2555.895000,-85.680000,2551.525000
I183|PSUB_SUB,inputOutput,MET4,pin,43.570000,2547.155000,44.070000,2555.895000,43.820000,2551.525000
I183|PSUB_SUB,inputOutput,METTPL,pin,-85.930000,2547.155000,-85.430000,2555.395000,-85.680000,2551.275000
I183|PSUB_SUB,inputOutput,METTPL,pin,43.570000,2702.755000,44.070000,2710.155000,43.820000,2706.455000
I183|PSUB_SUB,inputOutput,MET5,pin,-85.930000,2702.015000,-85.430000,2710.155000,-85.680000,2706.085000
I183|PSUB_SUB,inputOutput,MET5,pin,43.570000,2702.015000,44.070000,2710.155000,43.820000,2706.085000
I183|PSUB_SUB,inputOutput,METTPL,pin,43.570000,2547.155000,44.070000,2555.395000,43.820000,2551.275000
I183|PSUB_SUB,inputOutput,MET4,pin,43.570000,2702.015000,44.070000,2710.155000,43.820000,2706.085000
I183|PSUB_SUB,inputOutput,MET5,pin,43.570000,2547.155000,44.070000,2555.895000,43.820000,2551.525000
I183|PSUB_SUB,inputOutput,MET4,pin,-85.930000,2547.155000,-85.430000,2555.895000,-85.680000,2551.525000
I183|PSUB_SUB,inputOutput,MET4,pin,-85.930000,2702.015000,-85.430000,2710.155000,-85.680000,2706.085000
I183|PSUB_PSUB_SUB,inputOutput,MET5,pin,92.870000,13.555000,93.370000,21.695000,93.120000,17.625000
I183|PSUB_PSUB_SUB,inputOutput,MET5,pin,-85.930000,2702.015000,-85.430000,2710.155000,-85.680000,2706.085000
I183|PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,92.870000,13.555000,93.370000,21.695000,93.120000,17.625000
I183|PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,-85.930000,2702.015000,-85.430000,2710.155000,-85.680000,2706.085000
I183|PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,92.870000,167.815000,93.370000,176.555000,93.120000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET4,pin,-85.930000,2547.155000,-85.430000,2555.895000,-85.680000,2551.525000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET5,pin,92.870000,167.815000,93.370000,176.555000,93.120000,172.185000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,MET5,pin,-85.930000,2547.155000,-85.430000,2555.895000,-85.680000,2551.525000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,92.870000,168.315000,93.370000,176.555000,93.120000,172.435000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,-85.930000,2547.155000,-85.430000,2555.395000,-85.680000,2551.275000
I183|PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_PSUB_SUB,inputOutput,METTPL,pin,92.870000,13.555000,93.370000,20.955000,93.120000,17.255000
