objType,layer,purpose,llx,lly,urx,ury,width,height,cx,cy
label,MET5,pin,159.791000,15.839000,294.649000,19.125000,134.858000,3.286000,227.220000,17.482000
label,MET4,pin,152.076000,170.399000,302.364000,173.685000,150.288000,3.286000,227.220000,172.042000
label,MET4,pin,144.362000,15.839000,310.078000,19.125000,165.716000,3.286000,227.220000,17.482000
label,MET5,pin,14.576000,170.399000,272.864000,173.685000,258.288000,3.286000,143.720000,172.042000
label,MET5,pin,6.862000,15.839000,280.578000,19.125000,273.716000,3.286000,143.720000,17.482000
label,MET4,pin,-0.852000,170.399000,288.292000,173.685000,289.144000,3.286000,143.720000,172.042000
label,MET4,pin,-8.566000,15.839000,296.006000,19.125000,304.572000,3.286000,143.720000,17.482000
label,MET4,TEXT,130.076000,38.909000,157.364000,42.195000,27.288000,3.286000,143.720000,40.552000
label,MET4,TEXT,130.291000,15.839000,157.149000,19.125000,26.858000,3.286000,143.720000,17.482000
label,MET4,TEXT,130.291000,170.049000,157.149000,173.335000,26.858000,3.286000,143.720000,171.692000
label,MET4,TEXT,130.434000,148.029000,157.006000,151.315000,26.572000,3.286000,143.720000,149.672000
label,MET5,TEXT,130.076000,38.909000,157.364000,42.195000,27.288000,3.286000,143.720000,40.552000
label,MET5,TEXT,130.291000,15.839000,157.149000,19.125000,26.858000,3.286000,143.720000,17.482000
label,MET5,TEXT,130.291000,170.049000,157.149000,173.335000,26.858000,3.286000,143.720000,171.692000
label,MET5,TEXT,130.434000,148.029000,157.006000,151.315000,26.572000,3.286000,143.720000,149.672000
label,METTPL,TEXT,129.826000,38.909000,157.114000,42.195000,27.288000,3.286000,143.470000,40.552000
label,METTPL,TEXT,130.184000,148.029000,156.756000,151.315000,26.572000,3.286000,143.470000,149.672000
label,MET4,TEXT,213.576000,38.909000,240.864000,42.195000,27.288000,3.286000,227.220000,40.552000
label,MET4,TEXT,213.791000,15.839000,240.649000,19.125000,26.858000,3.286000,227.220000,17.482000
label,MET4,TEXT,213.791000,170.049000,240.649000,173.335000,26.858000,3.286000,227.220000,171.692000
label,MET4,TEXT,213.934000,148.029000,240.506000,151.315000,26.572000,3.286000,227.220000,149.672000
label,MET5,TEXT,213.576000,38.909000,240.864000,42.195000,27.288000,3.286000,227.220000,40.552000
label,MET5,TEXT,213.791000,15.839000,240.649000,19.125000,26.858000,3.286000,227.220000,17.482000
label,MET5,TEXT,213.791000,170.049000,240.649000,173.335000,26.858000,3.286000,227.220000,171.692000
label,MET5,TEXT,213.934000,148.029000,240.506000,151.315000,26.572000,3.286000,227.220000,149.672000
