cas,count,mean,std,rmse,mae,p50_ae,p90_ae,p95_ae,p99_ae,min,max
Avant LUT,8999942,-1895.96811068338,412.5111217415686,1940.324844527017,1895.96811068338,1969.0,2469.0,2554.0,2624.0,-3020.0,-965.0
Apres LUT,8999942,-0.008179002621201453,18.55510151740323,18.555103320036334,15.218903526330608,13.482650337573432,31.443627450978965,35.399088761390885,38.993705743509054,-40.59368017874294,95.0
