family,side,pin_count
B,BOTTOM,50
B,INTERNAL_NEAREST_RIGHT,14
Bz,BOTTOM,50
Bz,INTERNAL_NEAREST_RIGHT,14
Cin,BOTTOM,44
Cout,TOP,44
Din,BOTTOM,44
Dout,TOP,44
R,INTERNAL_NEAREST_RIGHT,14
R,TOP,50
Rz,INTERNAL_NEAREST_RIGHT,14
Rz,TOP,50
SUPPLY,LEFT,2
SUPPLY,TOP,2
UNKNOWN,LEFT,1
Y,INTERNAL_NEAREST_RIGHT,64
Yz,INTERNAL_NEAREST_RIGHT,64
