idx	marker_handle	box	layer	type	subType	message
88	0x7f61673d8470	{609.98 245.37 610.26 245.75}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_11 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
89	0x7f61673d84a0	{628.46 245.37 628.74 245.75}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_11 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
90	0x7f61673d85f0	{609.98 245.37 610.16 245.75}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_11 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[hit_level][7] Type: Metal Short # -1 -1 9 2 : 609.9800 245.3700 610.1600 245.7500 1: 609.9800 245.3700 610.1600 245.7500 1
91	0x7f61673d8620	{628.46 245.56 628.66 245.75}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_11 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][hit_level][7] Type: Metal Short # -1 -1 9 2 : 628.4600 245.5600 628.6600 245.7500 1: 628.4600 245.5600 628.6600 245.7500 1
92	0x7f61673d8920	{628.46 245.195 628.74 245.37}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_11 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][hit_level][7] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 628.4600 245.1000 628.7400 245.1950 1: 628.4600 245.3700 628.7400 245.6500 1     LEF Description:  SPACING 0.230000 
93	0x7f616e0a1c40	{710.17 219.1 710.55 219.38}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_22 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
94	0x7f616e0a1c70	{710.3 219.1 710.53 219.38}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_22 & Blockage of Cell u_core_u_rst_drain_sync/sync_q_reg[3] Type: Metal Short # -1 -1 9 2 : 710.3000 219.1000 710.5300 219.3800 1: 710.3000 219.1000 710.5300 219.3800 1
95	0x7f616e0a1ca0	{709.97 219.1 710.17 219.38}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_22 & Blockage of Cell u_core_u_rst_drain_sync/sync_q_reg[3] Actual: 0.200000 Required: 0.230000 Type: ParallelRunLength Spacing # 200 230 3 2 : 709.6200 219.1000 709.9700 219.3800 1: 710.1700 219.1000 710.4500 219.3800 1     LEF Description:  SPACING 0.230000 
96	0x7f616e0a1cd0	{710.55 219.1 710.76 219.335}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_22 & Blockage of Cell u_core_u_rst_drain_sync/sync_q_reg[3] Actual: 0.210000 Required: 0.230000 Type: ParallelRunLength Spacing # 210 230 3 2 : 710.2700 219.1000 710.5500 219.3800 1: 710.7600 219.0500 711.0450 219.3350 1     LEF Description:  SPACING 0.230000 
97	0x7f61673d8410	{572.46 421.77 572.74 422.15}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_33 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
98	0x7f61673d8440	{574.7 412.81 574.98 413.19}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_33 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
99	0x7f61673d85c0	{572.46 421.77 572.475 422.15}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_33 & Blockage of Cell u_core_u_meas_ctrl_row_cnt_q_reg[3][1] Type: Metal Short # -1 -1 9 2 : 572.4600 421.7700 572.4750 422.1500 1: 572.4600 421.7700 572.4750 422.1500 1
100	0x7f61673d87d0	{572.26 421.77 572.46 422.15}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_33 & Blockage of Cell u_core_u_meas_ctrl_row_cnt_q_reg[3][1] Actual: 0.200000 Required: 0.230000 Type: ParallelRunLength Spacing # 200 230 3 2 : 572.2450 421.7700 572.2600 422.1500 1: 572.4600 421.7700 572.7400 422.1500 1     LEF Description:  SPACING 0.230000 
101	0x7f61673d8800	{572.26 422.15 572.46 422.195}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_33 & Blockage of Cell u_core_u_meas_ctrl_row_cnt_q_reg[3][1] Actual: 0.200000 Required: 0.230000 Type: ParallelRunLength Spacing # 200 230 3 2 : 571.9700 422.1950 572.2600 422.4850 1: 572.4600 421.8700 572.7400 422.1500 1     LEF Description:  SPACING 0.230000 
