idx	inst	inst_orient	marker_layer	marker_local_box	marker_lef_box	overlapping_lef_pins_same_layer	overlapping_obs_count_same_layer	nearest_pin_same_layer	nearest_pin_distance_um	classification	orientation_warning	message
55	u_core_u_osc_fast_u_ro_tune4	MX	MET2	96.355000 68.230000 96.635000 70.500000	27.655000 -88.515000 27.935000 -86.245000		1	S[1]:MET2:27.655000 -85.825000 27.935000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fast_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.6150 188.4900 147.1750 191.0400 2: 146.6150 188.4900 147.1750 191.0400 2
56	u_core_u_osc_fast_u_ro_tune4	MX	MET3	112.610000 68.310000 112.890000 70.500000	43.910000 -88.515000 44.190000 -86.325000		2			OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fast_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.8700 188.5700 163.4300 191.0400 3: 162.8700 188.5700 163.4300 191.0400 3
57	u_core_u_osc_fast_u_ro_tune4	MX	MET2	96.355000 68.230000 96.635000 70.500000	27.655000 -88.515000 27.935000 -86.245000		1	S[1]:MET2:27.655000 -85.825000 27.935000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fast_phase_raw[1] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 146.6150 188.4900 147.1750 191.0400 2: 146.6150 188.4900 147.1750 191.0400 2
58	u_core_u_osc_fast_u_ro_tune4	MX	MET3	112.610000 68.310000 112.890000 70.500000	43.910000 -88.515000 44.190000 -86.325000		2			OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fast_phase_raw[5] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 162.8700 188.5700 163.4300 191.0400 3: 162.8700 188.5700 163.4300 191.0400 3
67	u_core_u_osc_fast_u_ro_tune4	MX	MET2	64.405000 68.230000 64.685000 70.500000	-4.295000 -88.515000 -4.015000 -86.245000		1	rstb:MET2:-4.295000 -85.825000 -4.015000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fe_osc_fast_en Type: Metal Short # -1 -1 9 2 : 114.6650 188.4900 115.2250 191.0400 2: 114.6650 188.4900 115.2250 191.0400 2
68	u_core_u_osc_fast_u_ro_tune4	MX	MET2	75.780000 68.230000 76.060000 70.500000	7.080000 -88.515000 7.360000 -86.245000		1	S[4]:MET2:7.080000 -85.825000 7.360000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fast_phase_raw[4] Type: Metal Short # -1 -1 9 2 : 126.0400 188.4900 126.6000 191.0400 2: 126.0400 188.4900 126.6000 191.0400 2
70	u_core_u_osc_fast_u_ro_tune4	MX	MET1	3.600000 53.965000 5.600000 70.500000	-65.100000 -88.515000 -63.100000 -71.980000		2	VDD:MET1:-66.670000 -71.560000 -61.525000 -68.325000	0.420000	OBS_OVERLAP_NO_PIN		Special Wire of Net VDD & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 53.8850 174.2500 56.1150 191.0150 1: 53.8850 174.2500 56.1150 191.0150 1
71	u_core_u_osc_fast_u_ro_tune4	MX	MET2	64.405000 68.230000 64.685000 70.500000	-4.295000 -88.515000 -4.015000 -86.245000		1	rstb:MET2:-4.295000 -85.825000 -4.015000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fe_osc_fast_en & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 114.6650 188.4900 115.2250 191.0400 2: 114.6650 188.4900 115.2250 191.0400 2
72	u_core_u_osc_fast_u_ro_tune4	MX	MET2	75.780000 68.230000 76.060000 70.500000	7.080000 -88.515000 7.360000 -86.245000		1	S[4]:MET2:7.080000 -85.825000 7.360000 -85.545000	0.420000	OBS_OVERLAP_NO_PIN		Regular Wire of Net u_core_fast_phase_raw[4] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 126.0400 188.4900 126.6000 191.0400 2: 126.0400 188.4900 126.6000 191.0400 2
82	u_core_u_osc_fast_u_ro_tune4	MX	MET1	66.410000 0.165000 66.640000 0.395000	-2.290000 -18.410000 -2.060000 -18.180000		0	code[6]:MET1:-2.290000 -18.885000 -2.060000 -18.655000	0.245000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[6] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 116.8100 120.5650 117.0400 120.7950 1: 116.8100 120.5650 117.0400 120.7950 1
83	u_core_u_osc_fast_u_ro_tune4	MX	MET1	67.085000 -0.535000 67.125000 0.395000	-1.615000 -18.410000 -1.575000 -17.480000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.245000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[7] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.5250 120.7950 1: 117.4850 119.8650 117.5250 120.7950 1
84	u_core_u_osc_fast_u_ro_tune4	MX	MET1	67.085000 -0.535000 67.175000 -0.305000	-1.615000 -17.710000 -1.525000 -17.480000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.945000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.5750 120.0950 1: 117.4850 119.8650 117.5750 120.0950 1
85	u_core_u_osc_fast_u_ro_tune4	MX	MET1	67.085000 -0.535000 67.200000 -0.305000	-1.615000 -17.710000 -1.500000 -17.480000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.945000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.6000 120.0950 1: 117.4850 119.8650 117.6000 120.0950 1
86	u_core_u_osc_fast_u_ro_tune4	MX	MET1	67.085000 0.165000 67.125000 0.395000	-1.615000 -18.410000 -1.575000 -18.180000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.245000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 120.5650 117.5250 120.7950 1: 117.4850 120.5650 117.5250 120.7950 1
87	u_core_u_osc_fast_u_ro_tune4	MX	MET1	66.410000 0.165000 66.640000 0.395000	-2.290000 -18.410000 -2.060000 -18.180000		0	code[6]:MET1:-2.290000 -18.885000 -2.060000 -18.655000	0.245000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[0] & Pin of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 116.8100 120.5650 117.0400 120.7950 1: 116.8100 120.5650 117.0400 120.7950 1
88	u_core_u_osc_fast_u_ro_tune4	MX	MET1	66.895000 0.165000 67.175000 0.395000	-1.805000 -18.410000 -1.525000 -18.180000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.245000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[7] Type: Metal Short # -1 -1 9 2 : 117.2950 120.5650 117.5750 120.7950 1: 117.2950 120.5650 117.5750 120.7950 1
89	u_core_u_osc_fast_u_ro_tune4	MX	MET1	67.085000 -0.535000 67.200000 -0.230000	-1.615000 -17.785000 -1.500000 -17.480000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.870000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[7] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.6000 120.1700 1: 117.4850 119.8650 117.6000 120.1700 1
90	u_core_u_osc_fast_u_ro_tune4	MX	MET1	67.085000 -0.535000 67.175000 0.395000	-1.615000 -18.410000 -1.525000 -17.480000		0	code[7]:MET1:-1.805000 -18.885000 -1.575000 -18.655000	0.245000	NO_OBS_OR_PIN_OVERLAP		Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.5750 120.7950 1: 117.4850 119.8650 117.5750 120.7950 1
