idx	inst	inst_orient	marker_layer	marker_box	marker_local_box	type	subType	message
36	u_core_u_osc_slow_u_ro_tune4	R0	MET2	114.805 610.4 115.085 612.67	64.405 0 64.685 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 114.6650 610.2600 115.2250 612.8100 2: 114.6650 610.2600 115.2250 612.8100 2
37	u_core_u_osc_slow_u_ro_tune4	R0	MET2	126.18 610.4 126.46 612.67	75.78 0 76.06 2.27	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[4] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 126.0400 610.2600 126.6000 612.8100 2: 126.0400 610.2600 126.6000 612.8100 2
43	u_core_u_osc_fast_u_ro_tune4	MX	MET2	204.13 188.63 204.41 190.9	153.73 68.23 154.01 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.9900 188.4900 204.5500 191.0400 2: 203.9900 188.4900 204.5500 191.0400 2
45	u_core_u_osc_fast_u_ro_tune4	MX	MET2	204.13 188.63 204.41 190.9	153.73 68.23 154.01 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[6] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 203.9900 188.4900 204.5500 191.0400 2: 203.9900 188.4900 204.5500 191.0400 2
47	u_core_u_osc_fast_u_ro_tune4	MX	MET3	167.33 188.71 167.61 190.9	116.93 68.31 117.21 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 167.1900 188.5700 167.7500 191.0400 3: 167.1900 188.5700 167.7500 191.0400 3
48	u_core_u_osc_fast_u_ro_tune4	MX	MET3	183.555 188.71 183.835 190.9	133.155 68.31 133.435 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.4150 188.5700 183.9750 191.0400 3: 183.4150 188.5700 183.9750 191.0400 3
49	u_core_u_osc_fast_u_ro_tune4	MX	MET3	187.905 188.71 188.185 190.9	137.505 68.31 137.785 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 187.7650 188.5700 188.3250 191.0400 3: 187.7650 188.5700 188.3250 191.0400 3
50	u_core_u_osc_fast_u_ro_tune4	MX	MET3	167.33 188.71 167.61 190.9	116.93 68.31 117.21 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[3] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 167.1900 188.5700 167.7500 191.0400 3: 167.1900 188.5700 167.7500 191.0400 3
51	u_core_u_osc_fast_u_ro_tune4	MX	MET3	183.555 188.71 183.835 190.9	133.155 68.31 133.435 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[7] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 183.4150 188.5700 183.9750 191.0400 3: 183.4150 188.5700 183.9750 191.0400 3
52	u_core_u_osc_fast_u_ro_tune4	MX	MET3	187.905 188.71 188.185 190.9	137.505 68.31 137.785 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[2] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 187.7650 188.5700 188.3250 191.0400 3: 187.7650 188.5700 188.3250 191.0400 3
53	u_core_u_osc_fast_u_ro_tune4	MX	MET2	142.405 188.63 142.685 190.9	92.005 68.23 92.285 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[0] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 142.2650 188.4900 142.8250 191.0400 2: 142.2650 188.4900 142.8250 191.0400 2
54	u_core_u_osc_fast_u_ro_tune4	MX	MET2	142.405 188.63 142.685 190.9	92.005 68.23 92.285 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[0] Type: Metal Short # -1 -1 9 2 : 142.2650 188.4900 142.8250 191.0400 2: 142.2650 188.4900 142.8250 191.0400 2
55	u_core_u_osc_fast_u_ro_tune4	MX	MET2	146.755 188.63 147.035 190.9	96.355 68.23 96.635 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.6150 188.4900 147.1750 191.0400 2: 146.6150 188.4900 147.1750 191.0400 2
56	u_core_u_osc_fast_u_ro_tune4	MX	MET3	163.01 188.71 163.29 190.9	112.61 68.31 112.89 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.8700 188.5700 163.4300 191.0400 3: 162.8700 188.5700 163.4300 191.0400 3
57	u_core_u_osc_fast_u_ro_tune4	MX	MET2	146.755 188.63 147.035 190.9	96.355 68.23 96.635 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[1] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 146.6150 188.4900 147.1750 191.0400 2: 146.6150 188.4900 147.1750 191.0400 2
58	u_core_u_osc_fast_u_ro_tune4	MX	MET3	163.01 188.71 163.29 190.9	112.61 68.31 112.89 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[5] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 162.8700 188.5700 163.4300 191.0400 3: 162.8700 188.5700 163.4300 191.0400 3
67	u_core_u_osc_fast_u_ro_tune4	MX	MET2	114.805 188.63 115.085 190.9	64.405 68.23 64.685 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_fast_en Type: Metal Short # -1 -1 9 2 : 114.6650 188.4900 115.2250 191.0400 2: 114.6650 188.4900 115.2250 191.0400 2
68	u_core_u_osc_fast_u_ro_tune4	MX	MET2	126.18 188.63 126.46 190.9	75.78 68.23 76.06 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[4] Type: Metal Short # -1 -1 9 2 : 126.0400 188.4900 126.6000 191.0400 2: 126.0400 188.4900 126.6000 191.0400 2
70	u_core_u_osc_fast_u_ro_tune4	MX	MET1	54 174.365 56 190.9	3.6 53.965 5.6 70.5	Geometry	Metal_Short	Special Wire of Net VDD & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 53.8850 174.2500 56.1150 191.0150 1: 53.8850 174.2500 56.1150 191.0150 1
71	u_core_u_osc_fast_u_ro_tune4	MX	MET2	114.805 188.63 115.085 190.9	64.405 68.23 64.685 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_fast_en & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 114.6650 188.4900 115.2250 191.0400 2: 114.6650 188.4900 115.2250 191.0400 2
72	u_core_u_osc_fast_u_ro_tune4	MX	MET2	126.18 188.63 126.46 190.9	75.78 68.23 76.06 70.5	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[4] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 126.0400 188.4900 126.6000 191.0400 2: 126.0400 188.4900 126.6000 191.0400 2
82	u_core_u_osc_fast_u_ro_tune4	MX	MET1	116.81 120.565 117.04 120.795	66.41 0.165 66.64 0.395	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[6] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 116.8100 120.5650 117.0400 120.7950 1: 116.8100 120.5650 117.0400 120.7950 1
83	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.485 119.865 117.525 120.795	67.085 -0.535 67.125 0.395	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[7] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.5250 120.7950 1: 117.4850 119.8650 117.5250 120.7950 1
84	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.485 119.865 117.575 120.095	67.085 -0.535 67.175 -0.305	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.5750 120.0950 1: 117.4850 119.8650 117.5750 120.0950 1
85	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.485 119.865 117.6 120.095	67.085 -0.535 67.2 -0.305	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.6000 120.0950 1: 117.4850 119.8650 117.6000 120.0950 1
86	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.485 120.565 117.525 120.795	67.085 0.165 67.125 0.395	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 120.5650 117.5250 120.7950 1: 117.4850 120.5650 117.5250 120.7950 1
87	u_core_u_osc_fast_u_ro_tune4	MX	MET1	116.81 120.565 117.04 120.795	66.41 0.165 66.64 0.395	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[0] & Pin of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 116.8100 120.5650 117.0400 120.7950 1: 116.8100 120.5650 117.0400 120.7950 1
88	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.295 120.565 117.575 120.795	66.895 0.165 67.175 0.395	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[7] Type: Metal Short # -1 -1 9 2 : 117.2950 120.5650 117.5750 120.7950 1: 117.2950 120.5650 117.5750 120.7950 1
89	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.485 119.865 117.6 120.17	67.085 -0.535 67.2 -0.23	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[0] & Regular Wire of Net u_core_ro_fast_code_q[7] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.6000 120.1700 1: 117.4850 119.8650 117.6000 120.1700 1
90	u_core_u_osc_fast_u_ro_tune4	MX	MET1	117.485 119.865 117.575 120.795	67.085 -0.535 67.175 0.395	Geometry	Metal_Short	Regular Wire of Net u_core_ro_fast_code_q[7] & Regular Wire of Net u_core_ro_fast_code_q[0] Type: Metal Short # -1 -1 9 2 : 117.4850 119.8650 117.5750 120.7950 1: 117.4850 119.8650 117.5750 120.7950 1
