idx	terminal	inst	pin	net	pin_layer	pin_box	target_status	target_layer	target_distance_um	target_box	stack_layers	access_box	via_area	status	reason
1	u_core_u_osc_fast_u_ro_tune4/VDD	u_core_u_osc_fast_u_ro_tune4	VDD	VDD	METTP	57.470 256.390 60.695 259.625	PASS	METTP	10.270	45.200 21.200 47.200 952.080	METTP	44.200 257.007 60.695 259.007	44.800 257.007 47.600 259.007	FAIL	obs_overlap_outside_pin:METTP:55.440 236.115 56.740 276.580:overlap=2.600000
2	u_core_u_osc_fast_u_ro_tune4/VSS	u_core_u_osc_fast_u_ro_tune4	VSS	VSS	METTP	55.445 233.715 57.125 235.385	PASS	METTP	4.245	49.200 18.200 51.200 955.080	METTP	48.200 233.550 57.125 235.550	48.800 233.550 51.600 235.550	PASS	constructed
3	u_core_u_osc_slow_u_ro_tune4/VDD	u_core_u_osc_slow_u_ro_tune4	VDD	VDD	METTP	57.470 713.035 60.695 716.270	PASS	METTP	10.270	45.200 21.200 47.200 952.080	METTP	44.200 713.653 60.695 715.653	44.800 713.653 47.600 715.653	FAIL	obs_overlap_outside_pin:METTP:55.440 696.080 56.740 736.545:overlap=2.600000
4	u_core_u_osc_slow_u_ro_tune4/VSS	u_core_u_osc_slow_u_ro_tune4	VSS	VSS	METTP	55.445 737.275 57.125 738.945	PASS	METTP	4.245	49.200 18.200 51.200 955.080	METTP	48.200 737.110 57.125 739.110	48.800 737.110 51.600 739.110	PASS	constructed
