row,col,bit,endpoint_pin,driver_pin,driver_instance,current_cell,status,method,candidate_count,score
0,2,4,"u_core_gen_pd_row[0].gen_pd_col[2].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[2].u_pd/g439__3680/Q","u_core_gen_pd_row[0].gen_pd_col[2].u_pd/g439__3680",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,3,0,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,3,2,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[2]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,3,1,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g438__4733/Q","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g438__4733",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,3,5,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g442__2883/Q","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g442__2883",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,3,3,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g436__5115/Q","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g436__5115",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,3,6,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g441__9945/Q","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g441__9945",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,3,4,"u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g439__6161/Q","u_core_gen_pd_row[0].gen_pd_col[3].u_pd/g439__6161",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,4,0,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,4,6,"u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g441__5526/Q","u_core_gen_pd_row[0].gen_pd_col[4].u_pd/g441__5526",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
