instance	master	placement_status	orientation	box
g131__1705	AN22JIHDX1	placed	R0	{616.0 418.88 619.36 423.36}
g132__5122	AN22JIHDX1	placed	MX	{607.6 414.4 610.96 418.88}
g143__2398	NO2I1JIHDX0	placed	R180	{838.88 109.76 841.68 114.24}
g144__5107	OR2JIHDX1	placed	MY	{996.24 105.28 999.04 109.76}
g1492__7098	NA5I4JIHDX1	placed	R0	{394.8 302.4 400.4 306.88}
g1493__6131	NA5I4JIHDX1	placed	R0	{383.04 320.32 388.64 324.8}
g1494__1881	NA5I4JIHDX1	placed	MX	{365.12 306.88 370.72 311.36}
g1495__5115	NA5I4JIHDX1	placed	MY	{366.24 311.36 371.84 315.84}
g1496__7482	NA5I4JIHDX1	placed	MY	{375.2 302.4 380.8 306.88}
g1497__4733	NA5I4JIHDX1	placed	MY	{362.88 275.52 368.48 280.0}
g1498__6161	NA5I4JIHDX1	placed	MX	{383.6 297.92 389.2 302.4}
g1499__9315	AND4JIHDX1	placed	MY	{394.8 544.32 398.72 548.8}
g1500__9945	AND4JIHDX1	placed	R0	{374.08 535.36 378.0 539.84}
g1501__2883	AND4JIHDX1	placed	MY	{385.28 562.24 389.2 566.72}
g1502__2346	AND4JIHDX1	placed	R180	{366.8 539.84 370.72 544.32}
g1503__1666	AND4JIHDX1	placed	R0	{356.72 544.32 360.64 548.8}
g1504__7410	AND4JIHDX1	placed	MX	{380.24 566.72 384.16 571.2}
g1505__6417	AND4JIHDX1	placed	MX	{366.8 548.8 370.72 553.28}
g1506__5477	AND4JIHDX1	placed	R180	{356.16 602.56 360.08 607.04}
g1507__2398	NA4JIHDX1	placed	MY	{389.2 150.08 392.56 154.56}
g1508__5107	NA4JIHDX1	placed	R0	{388.64 185.92 392.0 190.4}
g1509__6260	NA4JIHDX1	placed	R180	{384.16 351.68 387.52 356.16}
g1510__4319	NA4JIHDX1	placed	R0	{380.8 194.88 384.16 199.36}
g1511__8428	AND4JIHDX1	placed	MX	{394.8 557.76 398.72 562.24}
g1512__5526	NA4JIHDX1	placed	MY	{388.08 293.44 391.44 297.92}
g1513__6783	NA4JIHDX1	placed	MX	{397.6 288.96 400.96 293.44}
g1514__3680	AND4JIHDX1	placed	R0	{370.72 562.24 374.64 566.72}
g1515__1617	NA4JIHDX1	placed	MX	{374.08 342.72 377.44 347.2}
g1516__2802	NA4JIHDX1	placed	R0	{375.2 203.84 378.56 208.32}
g1517__1705	AND4JIHDX1	placed	R180	{386.96 566.72 390.88 571.2}
g1518__5122	AND4JIHDX1	placed	R0	{371.28 607.04 375.2 611.52}
g1519__8246	AND4JIHDX1	placed	MY	{389.2 589.12 393.12 593.6}
g1520__7098	AND4JIHDX1	placed	R0	{378.0 562.24 381.92 566.72}
g1521__6131	AND4JIHDX1	placed	R0	{383.04 499.52 386.96 504.0}
g1522__1881	AND4JIHDX1	placed	R0	{367.36 535.36 371.28 539.84}
g1523__5115	NA4JIHDX1	placed	MY	{369.04 141.12 372.4 145.6}
g1524__7482	AND4JIHDX1	placed	R0	{372.4 499.52 376.32 504.0}
g1525__4733	NA4JIHDX1	placed	MX	{359.52 181.44 362.88 185.92}
g1526__6161	NA4JIHDX1	placed	R180	{362.88 280.0 366.24 284.48}
