instance	master	placement_status	orientation	box
g1682	AN22JIHDX1	placed	R180	{355.04 441.28 358.4 445.76}
g1683	AN22JIHDX1	placed	R180	{392.0 297.92 395.36 302.4}
g1684	AN22JIHDX1	placed	R180	{330.96 306.88 334.32 311.36}
g1685	AN22JIHDX1	placed	R180	{340.48 315.84 343.84 320.32}
g1686	AN22JIHDX1	placed	MX	{413.84 172.48 417.2 176.96}
g1687	AN22JIHDX1	placed	R180	{481.6 620.48 484.96 624.96}
g1688	AN22JIHDX1	placed	MX	{364.56 593.6 367.92 598.08}
g1689	AN22JIHDX1	placed	R0	{349.44 347.2 352.8 351.68}
g1690	AN22JIHDX1	placed	R0	{423.92 347.2 427.28 351.68}
g1691	AN22JIHDX1	placed	R180	{380.8 360.64 384.16 365.12}
g1692	AN22JIHDX1	placed	MX	{351.12 369.6 354.48 374.08}
g1693	AN22JIHDX1	placed	MY	{441.84 571.2 445.2 575.68}
g1694	AN22JIHDX1	placed	MX	{435.12 602.56 438.48 607.04}
g1695	AN22JIHDX1	placed	MX	{331.52 548.8 334.88 553.28}
g1696	AN22JIHDX1	placed	MX	{357.84 593.6 361.2 598.08}
g1697	AN22JIHDX1	placed	R0	{441.28 562.24 444.64 566.72}
g1698	AN22JIHDX1	placed	R180	{430.64 584.64 434.0 589.12}
g1699	AN22JIHDX1	placed	R180	{335.44 557.76 338.8 562.24}
g1700	AN22JIHDX1	placed	R0	{305.2 580.16 308.56 584.64}
g1701	AN22JIHDX1	placed	MX	{361.76 611.52 365.12 616.0}
g1702	AN22JIHDX1	placed	MX	{355.04 611.52 358.4 616.0}
g1703	AN22JIHDX1	placed	MX	{504.0 584.64 507.36 589.12}
g1704	AN22JIHDX1	placed	R0	{486.08 607.04 489.44 611.52}
g1705	AN22JIHDX1	placed	R180	{480.48 611.52 483.84 616.0}
g1706	AN22JIHDX1	placed	MY	{298.48 580.16 301.84 584.64}
g1707	AN22JIHDX1	placed	R180	{458.08 620.48 461.44 624.96}
g1708	AN22JIHDX1	placed	R0	{384.16 141.12 387.52 145.6}
g1709	AN22JIHDX1	placed	R0	{327.04 544.32 330.4 548.8}
g1710	AN22JIHDX1	placed	MX	{293.44 566.72 296.8 571.2}
g1711	AN22JIHDX1	placed	MY	{292.32 589.12 295.68 593.6}
g1712	AN22JIHDX1	placed	MX	{411.6 521.92 414.96 526.4}
g1713	AN22JIHDX1	placed	R180	{375.2 593.6 378.56 598.08}
g1714	AN22JIHDX1	placed	R0	{411.04 517.44 414.4 521.92}
g1715	AN22JIHDX1	placed	MY	{342.72 544.32 346.08 548.8}
g1716	AN22JIHDX1	placed	R0	{293.44 571.2 296.8 575.68}
g1717	AN22JIHDX1	placed	R0	{341.6 338.24 344.96 342.72}
g1718	AN22JIHDX1	placed	MX	{350.56 504.0 353.92 508.48}
g1719	AN22JIHDX1	placed	MX	{381.92 495.04 385.28 499.52}
g1720	AN22JIHDX1	placed	MY	{372.96 544.32 376.32 548.8}
g1721	AN22JIHDX1	placed	MX	{358.4 414.4 361.76 418.88}
g1722	AN22JIHDX1	placed	MY	{377.44 598.08 380.8 602.56}
g1723	AN22JIHDX1	placed	MX	{407.68 530.88 411.04 535.36}
g1724	AN22JIHDX1	placed	MY	{395.36 185.92 398.72 190.4}
g1725	AN22JIHDX1	placed	R180	{342.72 530.88 346.08 535.36}
g1726	AN22JIHDX1	placed	MX	{371.84 145.6 375.2 150.08}
g1727	AN22JIHDX1	placed	MX	{422.8 136.64 426.16 141.12}
g1728	AN22JIHDX1	placed	R0	{352.24 598.08 355.6 602.56}
g1729	AN22JIHDX1	placed	R180	{388.08 593.6 391.44 598.08}
g1730	AN22JIHDX1	placed	R180	{404.32 136.64 407.68 141.12}
g1731	AN22JIHDX1	placed	MX	{417.2 333.76 420.56 338.24}
g1732	AN22JIHDX1	placed	R180	{331.52 136.64 334.88 141.12}
g1733	AN22JIHDX1	placed	MX	{429.52 136.64 432.88 141.12}
g1734	AN22JIHDX1	placed	MX	{340.48 504.0 343.84 508.48}
g1735	AN22JIHDX1	placed	R180	{383.04 486.08 386.4 490.56}
g1736	AN22JIHDX1	placed	R180	{328.16 181.44 331.52 185.92}
g1737	AN22JIHDX1	placed	MX	{413.28 181.44 416.64 185.92}
g1738	AN22JIHDX1	placed	R180	{333.2 530.88 336.56 535.36}
g1739	AN22JIHDX1	placed	R180	{395.36 181.44 398.72 185.92}
g1740	AN22JIHDX1	placed	MY	{336.56 275.52 339.92 280.0}
g1741	AN22JIHDX1	placed	MY	{372.96 553.28 376.32 557.76}
g1742	AN22JIHDX1	placed	MX	{354.48 288.96 357.84 293.44}
g1743	AN22JIHDX1	placed	R0	{415.52 275.52 418.88 280.0}
g1744	AN22JIHDX1	placed	MY	{359.52 418.88 362.88 423.36}
g1745	AN22JIHDX1	placed	R180	{390.88 288.96 394.24 293.44}
g1746	AN22JIHDX1	placed	R180	{329.28 145.6 332.64 150.08}
g1747	AN22JIHDX1	placed	R180	{331.52 324.8 334.88 329.28}
g1748	AN22JIHDX1	placed	R0	{336.0 284.48 339.36 288.96}
g1749	AN22JIHDX1	placed	MX	{378.56 145.6 381.92 150.08}
g1750	AN22JIHDX1	placed	MX	{342.16 342.72 345.52 347.2}
g1751	AN22JIHDX1	placed	MX	{356.72 495.04 360.08 499.52}
g1752	AN22JIHDX1	placed	R0	{417.2 347.2 420.56 351.68}
g1753	AN22JIHDX1	placed	MX	{428.4 145.6 431.76 150.08}
g1754	AN22JIHDX1	placed	MY	{378.0 347.2 381.36 351.68}
g1755	AN22JIHDX1	placed	MY	{351.68 365.12 355.04 369.6}
g1756	AN22JIHDX1	placed	R180	{402.08 154.56 405.44 159.04}
g1757	AN22JIHDX1	placed	MY	{392.56 356.16 395.92 360.64}
g1758	AN22JIHDX1	placed	MY	{336.56 159.04 339.92 163.52}
g1759	AN22JIHDX1	placed	MX	{351.12 593.6 354.48 598.08}
g1760	AN22JIHDX1	placed	R180	{441.84 566.72 445.2 571.2}
g1761	AN22JIHDX1	placed	R0	{435.12 598.08 438.48 602.56}
g1762	AN22JIHDX1	placed	R0	{341.6 562.24 344.96 566.72}
g1763	AN22JIHDX1	placed	R0	{398.72 490.56 402.08 495.04}
g1764	AN22JIHDX1	placed	MX	{348.88 181.44 352.24 185.92}
g1765	AN22JIHDX1	placed	MX	{347.76 611.52 351.12 616.0}
g1766	AN22JIHDX1	placed	MX	{496.72 602.56 500.08 607.04}
g1767	AN22JIHDX1	placed	MY	{348.32 392.0 351.68 396.48}
g1768	AN22JIHDX1	placed	R0	{420.0 176.96 423.36 181.44}
g1769	AN22JIHDX1	placed	R180	{488.32 620.48 491.68 624.96}
g1770	AN22JIHDX1	placed	MY	{299.04 589.12 302.4 593.6}
g1771	AN22JIHDX1	placed	MY	{389.2 176.96 392.56 181.44}
g1772	AN22JIHDX1	placed	R180	{387.52 548.8 390.88 553.28}
g1773	AN22JIHDX1	placed	MX	{303.52 575.68 306.88 580.16}
g1774	AN22JIHDX1	placed	R180	{404.88 521.92 408.24 526.4}
g1775	AN22JIHDX1	placed	R180	{341.04 288.96 344.4 293.44}
g1776	AN22JIHDX1	placed	MY	{384.16 598.08 387.52 602.56}
g1777	AN22JIHDX1	placed	MY	{342.72 535.36 346.08 539.84}
g1778	AN22JIHDX1	placed	MY	{358.96 436.8 362.32 441.28}
g1779	AN22JIHDX1	placed	R0	{354.48 275.52 357.84 280.0}
g1780	AN22JIHDX1	placed	MX	{363.44 495.04 366.8 499.52}
g1781	AN22JIHDX1	placed	MX	{389.76 486.08 393.12 490.56}
g1782	AN22JIHDX1	placed	R180	{377.44 539.84 380.8 544.32}
g1783	AN22JIHDX1	placed	R180	{351.12 432.32 354.48 436.8}
g1784	AN22JIHDX1	placed	R0	{422.24 275.52 425.6 280.0}
g1785	AN22JIHDX1	placed	MY	{370.72 598.08 374.08 602.56}
g2	AND3JIHDX1	placed	R0	{844.48 562.24 847.84 566.72}
g26	ON22JIHDX1	placed	R180	{302.96 208.32 306.88 212.8}
g2__1705	NO2I1JIHDX1	placed	R0	{406.0 329.28 408.8 333.76}
g2__2802	NO2I1JIHDX1	placed	R0	{615.44 320.32 618.24 324.8}
g3	NA3I2JIHDX1	placed	R180	{637.28 387.52 640.64 392.0}
g475__6161	NO2JIHDX1	placed	MX	{631.12 306.88 633.36 311.36}
g476__9315	NO2JIHDX1	placed	R0	{612.64 454.72 614.88 459.2}
g477__9945	NO2JIHDX1	placed	MY	{616.56 454.72 618.8 459.2}
g478__2883	NO2JIHDX1	placed	R0	{632.24 454.72 634.48 459.2}
g479__2346	NO2JIHDX1	placed	MY	{635.6 293.44 637.84 297.92}
g480__1666	NO2JIHDX1	placed	MX	{633.92 450.24 636.16 454.72}
g481__7410	NO2JIHDX1	placed	MX	{607.6 306.88 609.84 311.36}
g482__6417	NO2JIHDX1	placed	R180	{609.28 315.84 611.52 320.32}
g483__5477	NO2JIHDX1	placed	R180	{635.04 306.88 637.28 311.36}
g484__2398	AND2JIHDX1	placed	R180	{605.36 324.8 608.16 329.28}
g486__6260	NO2JIHDX1	placed	R180	{610.4 459.2 612.64 463.68}
g487__4319	NO2JIHDX1	placed	R0	{617.68 302.4 619.92 306.88}
g488__8428	NO2JIHDX1	placed	R0	{617.12 293.44 619.36 297.92}
g489__5526	NO2JIHDX1	placed	R180	{618.24 459.2 620.48 463.68}
g490__6783	NO2JIHDX1	placed	MX	{617.12 414.4 619.36 418.88}
g491__3680	NO2JIHDX1	placed	R0	{628.88 463.68 631.12 468.16}
g493__2802	AND2JIHDX1	placed	MX	{614.88 306.88 617.68 311.36}
g494__1705	NO2JIHDX1	placed	R0	{631.68 293.44 633.92 297.92}
g495__5122	NO2JIHDX1	placed	R0	{633.36 463.68 635.6 468.16}
g496__8246	NO2JIHDX1	placed	MX	{633.36 459.2 635.6 463.68}
g497__7098	NO2JIHDX1	placed	R0	{619.92 445.76 622.16 450.24}
g498__6131	NO2JIHDX1	placed	MY	{622.16 454.72 624.4 459.2}
g499__1881	NO2JIHDX1	placed	R0	{611.52 302.4 613.76 306.88}
g500__5115	NO2JIHDX1	placed	MX	{628.88 459.2 631.12 463.68}
g501__7482	NO2JIHDX1	placed	R180	{627.76 288.96 630.0 293.44}
g502__4733	NO2JIHDX1	placed	R180	{613.2 414.4 615.44 418.88}
g503__6161	NO2JIHDX1	placed	MY	{627.76 293.44 630.0 297.92}
g504__9315	AND2JIHDX1	placed	MY	{609.28 392.0 612.08 396.48}
g505__9945	NO2JIHDX1	placed	R0	{610.96 293.44 613.2 297.92}
g506__2883	NO2JIHDX1	placed	MX	{618.24 423.36 620.48 427.84}
g507__2346	NA2JIHDX1	placed	R180	{618.24 333.76 620.48 338.24}
g508__1666	NA3I2JIHDX1	placed	R180	{612.64 324.8 616.0 329.28}
g511	INJIHDX1	placed	R0	{611.52 418.88 613.2 423.36}
g512__5477	NA2JIHDX1	placed	MY	{619.36 329.28 621.6 333.76}
g513__2398	AND3JIHDX1	placed	MY	{609.28 383.04 612.64 387.52}
g514__5107	NA3I2JIHDX1	placed	MX	{617.68 324.8 621.04 329.28}
g515__6260	NO3I2JIHDX1	placed	R0	{614.32 329.28 617.68 333.76}
g518__4319	AND2JIHDX1	placed	MX	{614.32 333.76 617.12 338.24}
g519__8428	NO2I1JIHDX1	placed	MX	{603.68 315.84 606.48 320.32}
g520__5526	NO2JIHDX1	placed	MY	{610.4 338.24 612.64 342.72}
g525__1617	AND2JIHDX1	placed	MX	{616.0 315.84 618.8 320.32}
g80973	AND2JIHDX2	placed	MX	{822.08 378.56 825.44 383.04}
g80974	INJIHDX2	placed	MX	{830.48 512.96 832.72 517.44}
g80975	INJIHDX1	placed	R180	{833.84 504.0 835.52 508.48}
g80981	NO3I2JIHDX1	placed	MY	{704.48 481.6 707.84 486.08}
g80982	ON22JIHDX1	placed	R0	{290.64 400.96 294.56 405.44}
g80994	ON22JIHDX1	placed	MX	{235.76 369.6 239.68 374.08}
g81361	NA5I4JIHDX1	placed	R180	{706.72 459.2 712.32 463.68}
g81362	AND2JIHDX2	placed	R0	{850.08 616.0 853.44 620.48}
g81363	NA2JIHDX2	placed	MY	{840.0 562.24 843.36 566.72}
g81364	NA3I2JIHDX1	placed	MX	{638.96 378.56 642.32 383.04}
g81365	AO22JIHDX0	placed	MY	{639.52 374.08 644.0 378.56}
g81366	AO222JIHDX2	placed	MX	{594.16 450.24 600.88 454.72}
g81367	AO222JIHDX2	placed	R0	{641.76 490.56 648.48 495.04}
g81368	AO222JIHDX2	placed	R0	{594.72 436.8 601.44 441.28}
g81369	AO222JIHDX2	placed	R0	{650.72 490.56 657.44 495.04}
g81370	AO222JIHDX1	placed	R0	{646.8 284.48 652.4 288.96}
g81371	AO222JIHDX1	placed	MX	{648.48 280.0 654.08 284.48}
g81372	AO222JIHDX0	placed	R180	{602.56 333.76 608.16 338.24}
g81373	AO222JIHDX2	placed	R180	{638.96 280.0 645.68 284.48}
g81374	AO22JIHDX0	placed	MX	{592.48 477.12 596.96 481.6}
g81375	AO22JIHDX0	placed	R180	{653.52 504.0 658.0 508.48}
g81376	AO22JIHDX0	placed	MX	{592.48 486.08 596.96 490.56}
g81377	AO22JIHDX0	placed	MX	{646.8 504.0 651.28 508.48}
g81378	AO22JIHDX0	placed	R180	{652.4 262.08 656.88 266.56}
g81379	AO22JIHDX0	placed	MY	{652.96 257.6 657.44 262.08}
g81380	AND3JIHDX2	placed	MY	{674.8 347.2 678.72 351.68}
g81381	NA6I5JIHDX1	placed	MX	{546.56 477.12 552.72 481.6}
g81382	NA6I5JIHDX1	placed	R180	{615.44 530.88 621.6 535.36}
g81383	NA6I5JIHDX1	placed	MX	{600.88 512.96 607.04 517.44}
g81384	NA6I5JIHDX1	placed	MY	{540.4 383.04 546.56 387.52}
g81385	NA6I5JIHDX1	placed	MX	{565.6 271.04 571.76 275.52}
g81386	NA6I5JIHDX1	placed	MX	{598.08 217.28 604.24 221.76}
g81387	NA6I5JIHDX1	placed	MY	{538.16 436.8 544.32 441.28}
g81388	NA6I5JIHDX1	placed	MY	{580.16 239.68 586.32 244.16}
g81389	EO3JIHDX1	placed	R180	{618.24 521.92 627.2 526.4}
g81390	EO3JIHDX1	placed	R0	{605.92 508.48 614.88 512.96}
g81391	EO3JIHDX1	placed	R0	{553.84 481.6 562.8 486.08}
g81392	OR3JIHDX1	placed	MX	{618.8 378.56 622.16 383.04}
g81393	NA3JIHDX1	placed	MY	{619.36 383.04 622.16 387.52}
g81394	AND3JIHDX1	placed	R180	{850.08 557.76 853.44 562.24}
g81395	AND5JIHDX2	placed	MX	{623.84 297.92 630.56 302.4}
g81397	AN32JIHDX1	placed	MX	{617.68 306.88 621.6 311.36}
g81399	AN221JIHDX1	placed	R0	{794.64 562.24 799.12 566.72}
g81400	AO22JIHDX0	placed	MY	{818.72 571.2 823.2 575.68}
g81402	AO32JIHDX2	placed	MY	{603.68 329.28 609.28 333.76}
g81403	AO21JIHDX2	placed	R0	{636.72 383.04 641.2 387.52}
g81404	NA3I1JIHDX2	placed	MY	{690.48 553.28 695.52 557.76}
g81405	OA21JIHDX1	placed	MY	{692.16 535.36 696.08 539.84}
g81406	EO2JIHDX1	placed	R180	{647.36 351.68 651.84 356.16}
g81407	NO22JIHDX0	placed	MX	{624.96 360.64 628.32 365.12}
g81408	NA3I1JIHDX1	placed	MX	{963.76 835.52 967.12 840.0}
g81409	EO2JIHDX1	placed	R180	{968.24 835.52 972.72 840.0}
g8750	NA5I3JIHDX1	placed	R0	{1024.24 660.8 1028.72 665.28}
g8751	NA5I3JIHDX1	placed	R0	{1025.36 705.6 1029.84 710.08}
g8752	NA5I3JIHDX1	placed	R0	{866.32 660.8 870.8 665.28}
g8753	NA5I3JIHDX1	placed	MY	{732.48 768.32 736.96 772.8}
g8754	NA5I3JIHDX1	placed	R0	{1023.68 732.48 1028.16 736.96}
g8755	NA5I3JIHDX1	placed	MX	{1021.44 745.92 1025.92 750.4}
g8756	NA5I3JIHDX1	placed	R0	{739.76 660.8 744.24 665.28}
g8757	NA5I3JIHDX1	placed	MX	{718.48 611.52 722.96 616.0}
g8758	NA5I3JIHDX1	placed	MX	{1027.04 710.08 1031.52 714.56}
g8759	NA5I3JIHDX1	placed	MY	{856.24 795.2 860.72 799.68}
g8760	NA5I3JIHDX1	placed	R0	{720.72 607.04 725.2 611.52}
g8761	NA5I3JIHDX1	placed	MX	{1012.48 799.68 1016.96 804.16}
g8762	NA5I3JIHDX1	placed	R0	{732.48 642.88 736.96 647.36}
g8763	NA5I3JIHDX1	placed	MX	{1015.84 808.64 1020.32 813.12}
g8764	NA5I3JIHDX1	placed	MY	{878.64 804.16 883.12 808.64}
g8765	NA4JIHDX4	placed	MX	{827.12 575.68 836.64 580.16}
g8766	NA5I3JIHDX1	placed	R180	{819.28 754.88 823.76 759.36}
g8767	NA5I3JIHDX1	placed	MX	{1015.84 629.44 1020.32 633.92}
g8768	NA5I3JIHDX1	placed	MY	{852.88 786.24 857.36 790.72}
g8769	NA5I3JIHDX1	placed	R0	{792.96 759.36 797.44 763.84}
g8770	NA5I3JIHDX1	placed	R0	{1035.44 687.68 1039.92 692.16}
g8771	NA5I3JIHDX1	placed	MX	{858.48 692.16 862.96 696.64}
g8772	NA5I3JIHDX1	placed	MX	{717.36 799.68 721.84 804.16}
g8773	NA5I3JIHDX1	placed	R0	{1038.8 669.76 1043.28 674.24}
g8774	NA5I3JIHDX1	placed	R0	{992.88 598.08 997.36 602.56}
g8775	NA5I3JIHDX1	placed	MY	{986.16 616.0 990.64 620.48}
g8776	NA5I3JIHDX1	placed	R180	{728.56 772.8 733.04 777.28}
g8777	NA5I3JIHDX1	placed	R180	{996.8 781.76 1001.28 786.24}
g8778	NA5I3JIHDX1	placed	R0	{740.88 678.72 745.36 683.2}
g8779	NA5I3JIHDX1	placed	MX	{955.92 593.6 960.4 598.08}
g8780	NA5I3JIHDX1	placed	R0	{741.44 732.48 745.92 736.96}
g8781	NA5I3JIHDX1	placed	R0	{749.84 687.68 754.32 692.16}
g8782	NA5I3JIHDX1	placed	R0	{1005.76 768.32 1010.24 772.8}
g8783	NO6I5JIHDX1	placed	MX	{1043.84 504.0 1050.0 508.48}
g8784	NO6I5JIHDX1	placed	R180	{1010.8 450.24 1016.96 454.72}
g8785	NO6I5JIHDX1	placed	R0	{1052.24 409.92 1058.4 414.4}
g8786	NO6I5JIHDX1	placed	MY	{768.32 436.8 774.48 441.28}
g8787	NO6I5JIHDX1	placed	MX	{1039.36 450.24 1045.52 454.72}
g8788	NO6I5JIHDX1	placed	R180	{759.92 504.0 766.08 508.48}
g8789	NO6I5JIHDX1	placed	R0	{1051.12 472.64 1057.28 477.12}
g8790	NO6I5JIHDX1	placed	R0	{1043.28 481.6 1049.44 486.08}
g8791	NO6I5JIHDX1	placed	R180	{819.28 414.4 825.44 418.88}
g8792	NO6I5JIHDX1	placed	R0	{959.84 454.72 966.0 459.2}
g8793	NO6I5JIHDX1	placed	MX	{838.88 414.4 845.04 418.88}
g8794	NO6I5JIHDX1	placed	MX	{1047.2 486.08 1053.36 490.56}
g8795	NO6I5JIHDX1	placed	R180	{940.24 432.32 946.4 436.8}
g8796	NO6I5JIHDX1	placed	R0	{1052.24 418.88 1058.4 423.36}
g8797	NO6I5JIHDX1	placed	MX	{759.36 423.36 765.52 427.84}
g8798	NO6I5JIHDX1	placed	MY	{772.8 490.56 778.96 495.04}
g8799	NO6I5JIHDX1	placed	R180	{766.64 459.2 772.8 463.68}
g8800	NO6I5JIHDX1	placed	R0	{962.08 418.88 968.24 423.36}
g8801	NO6I5JIHDX1	placed	MX	{1043.84 441.28 1050.0 445.76}
g8802	NO6I5JIHDX1	placed	MY	{768.32 409.92 774.48 414.4}
g8803	NO6I5JIHDX1	placed	MY	{938.56 418.88 944.72 423.36}
g8804	NO6I5JIHDX1	placed	R0	{1048.88 499.52 1055.04 504.0}
g8805	NO6I5JIHDX1	placed	MX	{792.4 450.24 798.56 454.72}
g8806	NO6I5JIHDX1	placed	MX	{992.32 495.04 998.48 499.52}
g8807	NO6I5JIHDX1	placed	R0	{1053.36 427.84 1059.52 432.32}
g8808	NO6I5JIHDX1	placed	R0	{986.72 490.56 992.88 495.04}
g8809	NO6I5JIHDX1	placed	R180	{765.52 477.12 771.68 481.6}
g8810	NO6I5JIHDX1	placed	R180	{887.6 414.4 893.76 418.88}
g8811	NO6I5JIHDX1	placed	MY	{997.92 427.84 1004.08 432.32}
g8812	NO6I5JIHDX1	placed	MY	{765.52 508.48 771.68 512.96}
g8813	NO6I5JIHDX1	placed	R180	{957.6 486.08 963.76 490.56}
g8814	NO6I5JIHDX1	placed	R0	{913.36 409.92 919.52 414.4}
g8815	AND6JIHDX1	placed	MY	{1052.24 302.4 1058.4 306.88}
g8817	AND6JIHDX1	placed	R0	{1010.8 347.2 1016.96 351.68}
g8818	AND6JIHDX1	placed	R0	{796.32 275.52 802.48 280.0}
g8819	AND6JIHDX1	placed	R180	{1040.48 369.6 1046.64 374.08}
g8820	AND6JIHDX1	placed	MY	{1056.16 356.16 1062.32 360.64}
g8821	AND6JIHDX1	placed	MX	{796.32 288.96 802.48 293.44}
g8822	AND6JIHDX1	placed	R0	{795.2 338.24 801.36 342.72}
g8823	AND6JIHDX1	placed	R180	{1045.52 378.56 1051.68 383.04}
g8824	AND6JIHDX2	placed	R180	{798.56 575.68 805.84 580.16}
g8825	AND6JIHDX1	placed	MY	{935.2 320.32 941.36 324.8}
g8826	AND6JIHDX1	placed	MX	{817.6 226.24 823.76 230.72}
g8827	AND6JIHDX1	placed	R180	{1051.12 324.8 1057.28 329.28}
g8828	AND6JIHDX1	placed	R180	{938.56 297.92 944.72 302.4}
g8829	AND6JIHDX1	placed	R0	{824.88 239.68 831.04 244.16}
g8830	AND6JIHDX1	placed	MX	{803.04 369.6 809.2 374.08}
g8831	AND6JIHDX1	placed	R180	{1044.4 288.96 1050.56 293.44}
g8832	AND6JIHDX1	placed	R180	{922.32 271.04 928.48 275.52}
g8833	AND6JIHDX1	placed	R180	{1052.24 315.84 1058.4 320.32}
g8834	AND6JIHDX1	placed	R180	{923.44 244.16 929.6 248.64}
g8835	AND6JIHDX1	placed	R0	{890.96 365.12 897.12 369.6}
g8836	AND6JIHDX1	placed	MY	{1050.56 257.6 1056.72 262.08}
g8837	AND6JIHDX1	placed	MX	{801.92 226.24 808.08 230.72}
g8838	AND6JIHDX1	placed	R180	{997.36 315.84 1003.52 320.32}
g8839	AND6JIHDX1	placed	MX	{942.48 360.64 948.64 365.12}
g8840	AND6JIHDX2	placed	R180	{845.6 638.4 852.88 642.88}
g8841	AND6JIHDX1	placed	R180	{1049.44 244.16 1055.6 248.64}
g8842	AND6JIHDX1	placed	R180	{1043.28 271.04 1049.44 275.52}
g8843	AND6JIHDX2	placed	R0	{824.88 383.04 832.16 387.52}
g8844	AND6JIHDX1	placed	MX	{952.56 235.2 958.72 239.68}
g8845	AND6JIHDX1	placed	MX	{794.08 315.84 800.24 320.32}
g8846	AND6JIHDX1	placed	R0	{992.88 239.68 999.04 244.16}
g8847	AND6JIHDX1	placed	R180	{913.36 244.16 919.52 248.64}
g8848	AND6JIHDX1	placed	R0	{806.4 257.6 812.56 262.08}
g8849	AND6JIHDX1	placed	R0	{911.12 365.12 917.28 369.6}
g8850	AND6JIHDX1	placed	R0	{793.52 320.32 799.68 324.8}
g8851	AND4JIHDX1	placed	MY	{762.16 732.48 766.08 736.96}
g8852	NA4JIHDX1	placed	R0	{1001.28 768.32 1004.64 772.8}
g8853	NA4JIHDX1	placed	MX	{938.0 763.84 941.36 768.32}
g8854	NA4JIHDX1	placed	R180	{1047.2 701.12 1050.56 705.6}
g8855	NA4JIHDX1	placed	R180	{859.6 530.88 862.96 535.36}
g8856	AND4JIHDX1	placed	MY	{1108.8 732.48 1112.72 736.96}
g8857	AND4JIHDX1	placed	R180	{1100.96 647.36 1104.88 651.84}
g8858	NA4JIHDX1	placed	R180	{1114.4 495.04 1117.76 499.52}
g8859	NA4JIHDX1	placed	R180	{735.84 683.2 739.2 687.68}
g8860	NA4JIHDX1	placed	R0	{649.6 696.64 652.96 701.12}
g8861	NA4JIHDX1	placed	MY	{1046.08 732.48 1049.44 736.96}
g8862	NA4JIHDX1	placed	R0	{1008.56 732.48 1011.92 736.96}
g8863	NA4JIHDX1	placed	MX	{930.72 736.96 934.08 741.44}
g8864	NA4JIHDX1	placed	R0	{689.92 768.32 693.28 772.8}
g8865	AND4JIHDX1	placed	MY	{1103.2 687.68 1107.12 692.16}
g8866	NA4JIHDX1	placed	R180	{1112.16 441.28 1115.52 445.76}
g8867	AND4JIHDX1	placed	R0	{757.68 571.2 761.6 575.68}
g8868	NA4JIHDX1	placed	R180	{1108.8 539.84 1112.16 544.32}
g8869	NA4JIHDX1	placed	R180	{735.84 826.56 739.2 831.04}
g8870	NA4JIHDX1	placed	MX	{652.4 772.8 655.76 777.28}
g8871	NA4JIHDX1	placed	MX	{997.92 710.08 1001.28 714.56}
g8872	NA4JIHDX1	placed	R180	{1050.56 745.92 1053.92 750.4}
g8873	NA4JIHDX1	placed	MY	{897.12 454.72 900.48 459.2}
g8874	AND4JIHDX1	placed	MX	{734.72 745.92 738.64 750.4}
g8875	NA4JIHDX1	placed	MX	{1003.52 745.92 1006.88 750.4}
g8876	NA4JIHDX1	placed	MX	{929.6 745.92 932.96 750.4}
g8877	NA4JIHDX1	placed	R180	{853.44 512.96 856.8 517.44}
g8878	AND4JIHDX1	placed	MY	{1107.68 705.6 1111.6 710.08}
g8879	NA4JIHDX1	placed	R180	{1102.64 477.12 1106.0 481.6}
g8880	NA4JIHDX1	placed	MY	{1041.04 714.56 1044.4 719.04}
g8881	NA4JIHDX1	placed	R0	{994.0 723.52 997.36 728.0}
g8882	NA4JIHDX1	placed	R0	{933.52 714.56 936.88 719.04}
g8883	NA4JIHDX1	placed	MX	{692.72 611.52 696.08 616.0}
g8884	AND4JIHDX1	placed	MY	{1096.48 660.8 1100.4 665.28}
g8885	NA4JIHDX1	placed	MY	{734.16 633.92 737.52 638.4}
g8886	NA4JIHDX1	placed	R180	{1108.8 504.0 1112.16 508.48}
g8887	NA4JIHDX1	placed	MX	{648.48 611.52 651.84 616.0}
g8888	NA4JIHDX1	placed	R180	{862.4 790.72 865.76 795.2}
g8889	NA4JIHDX1	placed	R0	{686.0 660.8 689.36 665.28}
g8890	AND4JIHDX1	placed	MX	{717.92 575.68 721.84 580.16}
g8891	NA4JIHDX1	placed	R0	{859.6 831.04 862.96 835.52}
g8892	NA4JIHDX1	placed	MY	{804.72 795.2 808.08 799.68}
g8893	NA4JIHDX1	placed	R180	{849.52 441.28 852.88 445.76}
g8894	AND4JIHDX1	placed	R180	{872.48 736.96 876.4 741.44}
g8895	NA4JIHDX1	placed	R180	{742.56 665.28 745.92 669.76}
g8896	NA4JIHDX1	placed	R0	{958.72 517.44 962.08 521.92}
g8897	NA4JIHDX1	placed	R0	{646.24 660.8 649.6 665.28}
g8898	NA4JIHDX1	placed	R180	{1046.64 799.68 1050.0 804.16}
g8899	NA4JIHDX1	placed	R0	{999.04 813.12 1002.4 817.6}
g8900	NA4JIHDX1	placed	MX	{927.92 799.68 931.28 804.16}
g8901	NA4JIHDX1	placed	MX	{931.28 710.08 934.64 714.56}
g8902	NA4JIHDX1	placed	R0	{700.56 607.04 703.92 611.52}
g8903	AND4JIHDX1	placed	R180	{1086.96 754.88 1090.88 759.36}
g8904	AND4JIHDX1	placed	R180	{745.36 575.68 749.28 580.16}
g8905	NA4JIHDX1	placed	MY	{739.2 624.96 742.56 629.44}
g8906	NA4JIHDX1	placed	R180	{1053.36 539.84 1056.72 544.32}
