rank	rule	primary_results	expanded_results	share_of_total_pct	classification	classification_basis	category	layer_or_object	description	geometry_record_count	aggregate_bbox_um	repair_guidance
1	R1M1	1	1	25.000000	NON_ANTENNA_REVIEW	NONE	DENSITY	MET1	Minimum ratio of MET1 area to EXTENT area ... 30.0%	1	0.000000 0.000000 237.360000 219.520000	Treat this as whole-window coverage debt in the dedicated density-enabled variant. Review the foundry fill and assembled chip-level policy; do not apply a localized minimum-area repair.
2	R1M2	1	1	25.000000	NON_ANTENNA_REVIEW	NONE	DENSITY	MET2	Minimum ratio of MET2 area to EXTENT area ... 30.0%	1	0.000000 0.000000 237.360000 219.520000	Treat this as whole-window coverage debt in the dedicated density-enabled variant. Review the foundry fill and assembled chip-level policy; do not apply a localized minimum-area repair.
3	R1M3	1	1	25.000000	NON_ANTENNA_REVIEW	NONE	DENSITY	MET3	Minimum ratio of MET3 area to EXTENT area ... 30.0%	1	0.000000 0.000000 237.360000 219.520000	Treat this as whole-window coverage debt in the dedicated density-enabled variant. Review the foundry fill and assembled chip-level policy; do not apply a localized minimum-area repair.
4	R1MT	1	1	25.000000	NON_ANTENNA_REVIEW	NONE	DENSITY	METTP	Minimum ratio of METTP area to EXTENT area ... 30.0%	1	0.000000 0.000000 237.360000 219.520000	Treat this as whole-window coverage debt in the dedicated density-enabled variant. Review the foundry fill and assembled chip-level policy; do not apply a localized minimum-area repair.
