idx	marker_handle	box	layer	type	subType	message
47	0x7f99f8a948f0	{677.74 192.72 678.58 193.12}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_slow_code_i[7] Actual:     2671.36     Max:     380
48	0x7f99f8a94950	{677.74 201.68 678.58 202.08}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_slow_code_i[5] Actual:     2686.23     Max:     380
49	0x7f99f8a94980	{672.14 219.6 672.98 220.0}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_slow_code_i[4] Actual:     2704.73     Max:     380
50	0x7f99f8a949e0	{696.78 210.64 697.62 211.04}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_slow_code_i[2] Actual:     2587.55     Max:     380
51	0x7f99f8a94a70	{688.38 201.68 689.22 202.08}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[7] Actual:     2635.79     Max:     380
52	0x7f99f8a94aa0	{673.82 214.56 674.66 214.96}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[6] Actual:     2699.11     Max:     380
53	0x7f99f8a94ad0	{695.66 205.6 696.5 206.0}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[5] Actual:     2589.53     Max:     380
54	0x7f99f8a94b00	{695.66 201.68 696.5 202.08}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[4] Actual:     2620.37     Max:     380
55	0x7f99f8a94b30	{700.7 192.72 701.54 193.12}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[3] Actual:     2522.23     Max:     380
56	0x7f99f8a94b60	{679.98 187.68 680.82 188.08}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[2] Actual:     2648.67     Max:     380
57	0x7f99f8a94b90	{705.18 192.72 706.02 193.12}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[1] Actual:     2487.76     Max:     380
58	0x7f99f8a94bc0	{673.82 205.6 674.66 206.0}	MET3	Antenna	AntSAreaRatio	Pin of Net ro_fast_code_i[0] Actual:     2763.38     Max:     380
