idx	marker_handle	box	layer	type	subType	message
42	0x7f9a2ce070d0	{219.94 219.435 219.96 220.165}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65126 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.9600 219.4350 220.7600 220.1650 2: 219.6600 219.4350 219.9400 220.1650 2
43	0x7f9a2ce07160	{220.5 174.53 220.76 175.255}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_n_66597 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 220.5000 174.5300 220.7600 175.2550 2: 220.5000 174.5300 220.7600 175.2550 2
44	0x7f9a2ce07190	{114.3 229.53 114.74 231.22}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_fast_en Type: Metal Short # -1 -1 9 2 : 114.0800 229.3100 114.9600 231.4400 4: 114.0800 229.3100 114.9600 231.4400 4
45	0x7f9a2ce071f0	{126.06 229.53 126.5 231.22}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[4] Type: Metal Short # -1 -1 9 2 : 125.8400 229.3100 126.7200 231.4400 4: 125.8400 229.3100 126.7200 231.4400 4
46	0x7f99a0b58d40	{125.16 158.32 125.16 158.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
47	0x7f99a0b58dd0	{48.0 205.16 48.0 205.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
48	0x7f99a0b58f20	{48.0 201.16 48.0 201.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
49	0x7f99a0b591c0	{50.17 217.28 50.17 217.28}	MET1	Connectivity	ConnectivityAntenna	Net VDD
50	0x7f99a0b591f0	{50.17 208.32 50.17 208.32}	MET1	Connectivity	ConnectivityAntenna	Net VDD
51	0x7f99a0b59220	{50.17 199.36 50.17 199.36}	MET1	Connectivity	ConnectivityAntenna	Net VDD
52	0x7f99a0b59280	{50.17 190.4 50.17 190.4}	MET1	Connectivity	ConnectivityAntenna	Net VDD
53	0x7f99a0b592e0	{50.17 181.44 50.17 181.44}	MET1	Connectivity	ConnectivityAntenna	Net VDD
54	0x7f99a0b59340	{50.17 172.48 50.17 172.48}	MET1	Connectivity	ConnectivityAntenna	Net VDD
