idx	terminal	inst	pin	net	pin_layer	pin_box	target_status	target_layer	target_distance_um	target_box	stack_layers	access_box	via_area	status	reason
1	u_core_u_osc_fast_u_ro_tune4/VDD	u_core_u_osc_fast_u_ro_tune4	VDD	VDD	MET1	52.430 170.710 57.575 173.945	PASS	METTP	10.270	40.160 16.160 42.160 785.760	MET1,MET2,MET3,METTP	39.160 171.327 57.575 173.327	39.760 171.327 42.560 173.327	PASS	constructed
2	u_core_u_osc_fast_u_ro_tune4/VSS	u_core_u_osc_fast_u_ro_tune4	VSS	VSS	MET2	50.460 149.600 56.065 152.600	PASS	METTP	4.300	44.160 13.160 46.160 788.760	MET2,MET3,METTP	43.160 150.100 56.065 152.100	43.760 150.100 46.560 152.100	PASS	constructed
3	u_core_u_osc_slow_u_ro_tune4/VDD	u_core_u_osc_slow_u_ro_tune4	VDD	VDD	MET1	52.430 627.355 57.575 630.590	PASS	METTP	10.270	40.160 16.160 42.160 785.760	MET1,MET2,MET3,METTP	39.160 627.972 57.575 629.972	39.760 627.972 42.560 629.972	PASS	constructed
4	u_core_u_osc_slow_u_ro_tune4/VSS	u_core_u_osc_slow_u_ro_tune4	VSS	VSS	MET2	50.460 648.700 56.065 651.700	PASS	METTP	4.300	44.160 13.160 46.160 788.760	MET2,MET3,METTP	43.160 649.200 56.065 651.200	43.760 649.200 46.560 651.200	PASS	constructed
