family,tap,stage,source_pin,net,actual_cap_pf,actual_cap_fF,cap_bound_fF,analog_budget_ratio_strict,analog_budget_ratio_cn,equivalent_DFRRQHDX2_D_inputs,equivalent_DFRRQHDX2_C_inputs,equivalent_DFRRQHDX2_RN_inputs,driver_cell_type,driver_input_cap_fF,driver_output_max_cap_fF,driver_output_max_fanout,phase_driver_suitability,notes
slow,7,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[7].u_drv/Q,u_core_slow_phase[7],0.209,209.00,,3.56,2.76,65.3,60.6,32.1,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=158.00;pin_cap_ff=51.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,0,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[0],u_core_fast_phase_raw[0],0.023,23.00,,0.39,0.30,7.2,6.7,3.5,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,0,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[0].u_drv/Q,ro_fast_tap0_o,0.779,779.00,,13.27,10.31,243.4,225.8,119.7,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=359.00;pin_cap_ff=420.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,1,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[1],u_core_fast_phase_raw[1],0.021,21.00,,0.36,0.28,6.6,6.1,3.2,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,1,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[1].u_drv/Q,u_core_fast_phase[1],0.589,589.00,,10.03,7.79,184.1,170.7,90.5,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=178.00;pin_cap_ff=410.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,2,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[2],u_core_fast_phase_raw[2],0.023,23.00,,0.39,0.30,7.2,6.7,3.5,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,2,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[2].u_drv/Q,u_core_fast_phase[2],0.659,659.00,,11.22,8.72,205.9,191.0,101.2,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=247.00;pin_cap_ff=412.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,3,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[3],u_core_fast_phase_raw[3],0.017,17.00,,0.29,0.22,5.3,4.9,2.6,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,3,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[3].u_drv/Q,u_core_fast_phase[3],0.659,659.00,,11.22,8.72,205.9,191.0,101.2,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=247.00;pin_cap_ff=412.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,4,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[4],u_core_fast_phase_raw[4],0.025,25.00,,0.43,0.33,7.8,7.2,3.8,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,4,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[4].u_drv/Q,u_core_fast_phase[4],0.619,619.00,,10.54,8.19,193.4,179.4,95.1,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=210.00;pin_cap_ff=409.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,5,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[5],u_core_fast_phase_raw[5],0.024,24.00,,0.41,0.32,7.5,7.0,3.7,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,5,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[5].u_drv/Q,u_core_fast_phase[5],0.677,677.00,,11.53,8.96,211.6,196.2,104.0,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=264.00;pin_cap_ff=413.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,6,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[6],u_core_fast_phase_raw[6],0.020,20.00,,0.34,0.26,6.2,5.8,3.1,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,6,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[6].u_drv/Q,u_core_fast_phase[6],0.578,578.00,,9.84,7.65,180.6,167.5,88.8,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=168.00;pin_cap_ff=411.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
fast,7,raw_ro_source,u_core_u_osc_fast_u_ro_tune4/S[7],u_core_fast_phase_raw[7],0.027,27.00,,0.46,0.36,8.4,7.8,4.1,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
fast,7,final_phase_driver_output,u_core_u_phase_buf_fast/gen_phase_buf[7].u_drv/Q,u_core_fast_phase[7],0.574,574.00,,9.78,7.59,179.4,166.4,88.2,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=163.00;pin_cap_ff=411.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
